Data Point,1_clusters,2_clusters,3_clusters,4_clusters,5_clusters,6_clusters,7_clusters,8_clusters,9_clusters,10_clusters
406,0,1,2,2,2,2,3,7,8,8
407,0,0,0,0,0,0,0,0,0,9
408,0,1,2,2,1,1,2,7,7,7
409,0,1,2,2,2,2,2,2,7,7
410,0,0,0,0,0,0,0,0,0,0
411,0,1,2,1,4,4,6,3,3,5
412,0,1,1,3,3,3,4,2,2,2
413,0,0,0,0,0,0,0,0,0,9
414,0,0,2,2,2,2,2,7,7,7
415,0,1,1,1,4,4,6,5,5,5
416,0,1,2,2,2,2,2,7,7,7
417,0,1,2,2,1,1,1,4,4,4
418,0,1,1,3,3,3,4,2,2,2
419,0,1,1,3,3,3,4,2,2,2
420,0,0,0,0,0,0,0,0,0,9
421,0,1,1,3,3,3,4,1,1,1
422,0,1,1,3,3,3,4,2,2,0
423,0,0,0,0,0,0,0,0,0,0
424,0,0,0,0,0,0,0,0,0,0
425,0,0,0,0,0,0,0,0,0,9
426,0,1,1,1,4,4,6,3,3,5
427,0,1,1,3,3,3,2,2,7,7
428,0,0,0,0,0,0,0,0,0,9
429,0,1,1,3,3,3,4,2,2,2
430,0,1,1,3,3,3,2,2,7,7
431,0,1,2,2,2,2,2,7,7,7
432,0,1,2,2,1,1,1,1,1,1
433,0,1,2,2,2,2,2,7,8,8
434,0,0,2,2,1,1,1,4,4,4
435,0,0,2,1,1,1,1,3,3,9
436,0,1,1,3,3,3,4,2,2,2
437,0,1,1,3,1,3,4,1,1,1
438,0,0,0,0,0,0,0,0,0,9
439,0,1,1,1,4,4,6,3,3,5
440,0,0,0,0,0,0,0,0,0,9
441,0,1,1,1,4,4,6,5,5,5
442,0,1,1,3,3,3,4,2,2,2
443,0,1,2,3,1,1,1,1,1,1
444,0,1,2,2,2,2,2,7,7,7
445,0,1,2,2,2,2,2,7,8,7
446,0,1,1,3,3,2,2,7,2,2
447,0,1,1,1,4,4,6,5,5,3
448,0,1,2,2,2,2,2,7,7,7
449,0,1,2,2,2,2,3,7,8,8
450,0,0,0,0,1,1,1,1,1,0
451,0,0,0,0,0,0,0,0,0,9
452,0,1,2,2,2,2,2,7,7,7
453,0,1,1,3,1,1,1,4,4,4
454,0,0,0,0,0,0,0,0,0,9
455,0,0,2,2,2,2,3,7,8,8
456,0,1,2,2,2,2,2,7,7,7
457,0,1,1,3,3,3,4,2,2,2
458,0,1,1,3,3,3,4,2,2,2
459,0,1,1,3,1,1,1,1,1,1
460,0,1,2,2,2,2,2,7,7,7
461,0,1,1,3,3,3,4,2,2,2
462,0,0,2,2,2,2,2,7,7,7
463,0,1,1,1,4,4,6,5,5,5
464,0,0,2,2,2,2,3,7,7,0
465,0,1,1,3,3,3,4,1,1,1
466,0,1,1,2,2,2,2,7,7,7
467,0,1,1,3,3,3,2,2,7,7
468,0,1,1,1,4,4,2,5,7,7
469,0,1,1,3,3,3,2,2,7,7
470,0,0,0,0,0,0,0,0,0,9
471,0,1,1,1,4,4,6,3,3,5
472,0,1,2,2,2,2,2,7,7,7
473,0,1,1,3,3,3,4,2,2,2
474,0,1,1,3,3,3,4,2,2,2
475,0,1,1,3,3,3,4,2,2,2
476,0,1,1,1,4,4,6,3,3,3
477,0,1,1,3,3,3,4,1,1,1
478,0,1,2,3,3,3,3,1,8,8
479,0,1,1,1,4,4,6,3,3,5
480,0,0,0,0,0,0,0,0,0,9
481,0,0,2,2,2,5,5,6,6,6
482,0,1,1,3,3,3,4,2,2,2
483,0,0,2,2,2,2,2,7,7,7
484,0,1,2,2,2,2,2,7,8,7
485,0,1,1,3,3,3,4,2,2,2
486,0,1,1,3,3,3,4,2,2,2
487,0,0,0,0,0,0,0,0,0,9
488,0,0,0,0,0,0,0,0,0,9
489,0,1,2,2,2,2,2,7,7,7
490,0,1,1,3,3,3,4,2,2,2
491,0,0,0,0,0,0,0,0,0,9
492,0,1,1,3,3,3,4,5,5,5
493,0,1,1,3,3,3,4,2,2,2
494,0,1,1,1,4,4,6,5,5,5
495,0,1,1,3,3,3,4,2,2,0
496,0,0,0,0,0,0,0,0,0,9
497,0,1,2,2,1,1,1,1,1,1
498,0,1,1,1,4,4,6,5,3,5
499,0,1,1,3,3,3,4,2,2,2
500,0,1,2,1,1,1,1,4,4,4
501,0,1,1,3,3,3,4,2,2,2
502,0,1,2,3,1,1,4,1,1,1
503,0,1,1,3,3,3,4,2,2,2
504,0,0,0,0,0,0,0,0,0,9
505,0,1,1,1,4,4,6,5,3,3
506,0,0,0,0,0,0,0,0,0,9
507,0,1,1,3,3,3,2,2,7,7
508,0,1,1,3,3,3,4,2,2,2
509,0,1,1,3,3,3,4,2,2,2
510,0,0,0,0,0,0,0,0,0,9
511,0,0,0,0,0,0,0,0,0,9
512,0,1,2,2,1,1,3,1,8,8
513,0,1,1,3,3,3,4,2,2,2
514,0,1,2,2,1,1,2,1,7,7
515,0,0,0,0,2,2,2,7,7,7
516,0,1,1,1,1,1,1,1,1,1
517,0,0,0,0,0,0,0,3,3,9
518,0,1,1,3,3,3,4,2,2,2
519,0,0,0,0,0,0,0,0,0,9
520,0,1,2,3,3,3,3,1,8,8
521,0,1,2,1,4,4,6,3,3,5
522,0,1,2,2,1,1,1,1,1,1
523,0,1,2,2,1,1,3,1,8,8
524,0,1,2,1,4,4,6,3,3,5
525,0,1,2,2,2,2,3,7,8,8
526,0,1,2,2,1,1,1,4,4,4
527,0,1,1,3,3,3,4,2,2,2
528,0,0,2,2,2,2,2,7,7,7
529,0,0,0,0,0,0,0,0,0,9
530,0,1,1,3,1,1,1,1,1,1
531,0,1,1,3,3,3,4,2,2,2
532,0,1,2,3,1,1,1,1,1,1
533,0,1,1,3,3,3,4,1,1,1
534,0,1,1,1,4,4,6,5,3,3
535,0,1,2,2,2,2,3,7,8,8
536,0,0,0,0,0,0,0,0,0,0
537,0,1,2,2,2,2,3,7,8,8
538,0,1,1,1,4,4,6,5,5,3
539,0,1,1,3,3,3,4,2,2,2
540,0,1,1,3,3,3,4,2,1,1
541,0,1,1,3,3,3,4,2,2,2
542,0,1,1,3,3,3,4,2,2,2
543,0,1,1,1,4,4,6,5,5,5
544,0,1,2,2,2,2,3,7,8,8
545,0,0,2,2,2,2,3,7,8,8
546,0,1,1,1,4,4,6,5,5,5
547,0,1,1,1,4,4,6,5,5,5
548,0,1,2,1,4,4,6,3,3,5
549,0,0,2,2,2,2,3,7,8,8
550,0,1,1,1,4,4,6,5,5,5
551,0,1,1,1,4,4,6,5,5,5
552,0,1,2,3,3,3,3,2,8,8
553,0,1,2,2,1,1,1,4,4,4
554,0,0,2,2,2,2,3,7,8,8
555,0,0,2,2,2,2,3,7,8,8
556,0,0,2,2,2,2,3,7,8,8
557,0,1,1,3,3,3,2,2,2,2
558,0,1,2,2,1,1,1,1,1,1
